symbol,name,sector,market,added_date,removed_date
FFIV,"F5, Inc.",Information Technology,US,"",""
FDS,FactSet,Financials,US,"",""
FICO,Fair Isaac,Information Technology,US,"",""
FAST,Fastenal,Industrials,US,"",""
FRT,Federal Realty Investment Trust,Real Estate,US,"",""
FDX,FedEx,Industrials,US,"",""
FIS,Fidelity National Information Services,Financials,US,"",""
FITB,Fifth Third Bancorp,Financials,US,"",""
FSLR,First Solar,Information Technology,US,"",""
FE,FirstEnergy,Utilities,US,"",""
FISV,Fiserv,Financials,US,"",""
F,Ford Motor Company,Consumer Discretionary,US,"",""
FTNT,Fortinet,Information Technology,US,"",""
FTV,Fortive,Industrials,US,"",""
FOXA,Fox Corporation (Class A),Communication Services,US,"",""
FOX,Fox Corporation (Class B),Communication Services,US,"",""
BEN,Franklin Resources,Financials,US,"",""
FCX,Freeport-McMoRan,Materials,US,"",""
GRMN,Garmin,Consumer Discretionary,US,"",""
IT,Gartner,Information Technology,US,"",""
GE,GE Aerospace,Industrials,US,"",""
GEHC,GE HealthCare,Health Care,US,"",""
GEV,GE Vernova,Industrials,US,"",""
GEN,Gen Digital,Information Technology,US,"",""
GNRC,Generac,Industrials,US,"",""
GD,General Dynamics,Industrials,US,"",""
GIS,General Mills,Consumer Staples,US,"",""
GM,General Motors,Consumer Discretionary,US,"",""
GPC,Genuine Parts Company,Consumer Discretionary,US,"",""
GILD,Gilead Sciences,Health Care,US,"",""
GPN,Global Payments,Financials,US,"",""
GL,Globe Life,Financials,US,"",""
GDDY,GoDaddy,Information Technology,US,"",""
GS,Goldman Sachs,Financials,US,"",""
HAL,Halliburton,Energy,US,"",""
HIG,Hartford (The),Financials,US,"",""
HAS,Hasbro,Consumer Discretionary,US,"",""
HCA,HCA Healthcare,Health Care,US,"",""
DOC,Healthpeak Properties,Real Estate,US,"",""
HSIC,Henry Schein,Health Care,US,"",""
HSY,Hershey Company (The),Consumer Staples,US,"",""
HPE,Hewlett Packard Enterprise,Information Technology,US,"",""
HLT,Hilton Worldwide,Consumer Discretionary,US,"",""
HD,Home Depot (The),Consumer Discretionary,US,"",""
HON,Honeywell,Industrials,US,"",""
